seiza x0 y0 z0 ly0 x1 y1 z1 ly1
end_header
Cru -0.53797 -0.83973 0.07362 1.59 -0.4494 -0.89179 0.0524 0.77
Cru -0.49379 -0.86329 0.10434 1.25 -0.51765 -0.8549 0.03426 2.79
Crv -0.95092 -0.27892 0.13396 4.3 -0.95061 -0.28426 0.12459 2.94
Crv -0.95061 -0.28426 0.12459 2.94 -0.95122 -0.3014 0.06572 2.58
Crv -0.95122 -0.3014 0.06572 2.58 -0.92217 -0.38461 0.04077 3.02
Crv -0.92217 -0.38461 0.04077 3.02 -0.90768 -0.41832 0.03334 4.02
Crv -0.92217 -0.38461 0.04077 3.02 -0.90746 -0.39709 0.13719 2.65
Crv -0.90746 -0.39709 0.13719 2.65 -0.95061 -0.28426 0.12459 2.94
CVn -0.74248 0.66075 0.11015 4.24 -0.76124 0.62003 0.18991 2.89
Cyg 0.19697 0.80249 0.56323 3.8 0.23629 0.7851 0.57254 3.76
Cyg 0.23629 0.7851 0.57254 3.76 0.31196 0.70872 0.63278 2.86
Cyg 0.31196 0.70872 0.63278 2.86 0.44379 0.64622 0.62086 2.23
Cyg 0.44379 0.64622 0.62086 2.23 0.45565 0.71056 0.53619 1.25
Cyg 0.44379 0.64622 0.62086 2.23 0.5501 0.55876 0.62064 2.48
Cyg 0.5501 0.55876 0.62064 2.48 0.64447 0.50343 0.57553 3.21
Cyg 0.64447 0.50343 0.57553 3.21 0.72719 0.48089 0.48985 4.49
Cyg 0.44379 0.64622 0.62086 2.23 0.39769 0.57477 0.71519 3.89
Cyg 0.39769 0.57477 0.71519 3.89 0.34059 0.46886 0.81498 3.05
Del 0.6078 0.19601 0.76953 4.031 0.61408 0.25199 0.74794 3.64
Del 0.61408 0.25199 0.74794 3.64 0.617 0.27417 0.73767 3.77
Del 0.617 0.27417 0.73767 3.77 0.63862 0.27774 0.71766 4.27
Del 0.63862 0.27774 0.71766 4.27 0.63177 0.26008 0.73024 4.43
Del 0.63177 0.26008 0.73024 4.43 0.61408 0.25199 0.74794 3.64
Dor 0.02729 -0.91165 -0.41004 4.34 0.01166 -0.89172 -0.45242 4.65
Dor 0.01166 -0.89172 -0.45242 4.65 0.05304 -0.88692 -0.45885 3.76
Dor 0.05304 -0.88692 -0.45885 3.76 0.02729 -0.91165 -0.41004 4.34
Dor 0.05304 -0.88692 -0.45885 3.76 0.21 -0.8196 -0.53306 3.3
Dor 0.21 -0.8196 -0.53306 3.3 0.27291 -0.78246 -0.5597 4.26
Dra -0.01543 0.83746 0.54629 3.73 -0.00922 0.78249 0.6226 2.24
Dra -0.00922 0.78249 0.6226 2.24 -0.07867 0.79124 0.60643 2.79
Dra -0.07867 0.79124 0.60643 2.79 -0.06894 0.82088 0.56693 4.86
Dra -0.06894 0.82088 0.56693 4.86 -0.01543 0.83746 0.54629 3.73
Dra -0.01543 0.83746 0.54629 3.73 0.11833 0.92496 0.3612 3.07
Dra 0.11833 0.92496 0.3612 3.07 0.15351 0.94129 0.30072 3.84
Dra 0.15351 0.94129 0.30072 3.84 0.02721 0.95494 0.29557 3.55
Dra 0.02721 0.95494 0.29557 3.55 -0.09114 0.91151 0.40106 3.17
Dra -0.09114 0.91151 0.40106 3.17 -0.194 0.87894 0.43571 2.73
Dra -0.194 0.87894 0.43571 2.73 -0.25702 0.85323 0.45381 4.01
Dra -0.25702 0.85323 0.45381 4.01 -0.32281 0.85687 0.40197 3.29
Dra -0.32281 0.85687 0.40197 3.29 -0.37031 0.90165 0.22337 3.67
